Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.108,,2017-12-26 12:59:47,2017-12-26 13:01:14,1m - 27.538s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerLogin - Copy - Iteration 1,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 12:59:47,2017-12-26 13:00:30,43.172s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 12:59:48,2017-12-26 13:00:15,27.017s,PASSED
click,Chrome 63.0.3239.108,,2017-12-26 13:00:15,2017-12-26 13:00:20,4.989s,PASSED
waitForPageLoad,Chrome 63.0.3239.108,,2017-12-26 13:00:20,2017-12-26 13:00:20,0.068s,PASSED
setText,Chrome 63.0.3239.108,,2017-12-26 13:00:20,2017-12-26 13:00:20,0.627s,PASSED
setText,Chrome 63.0.3239.108,,2017-12-26 13:00:20,2017-12-26 13:00:21,0.239s,PASSED
click,Chrome 63.0.3239.108,,2017-12-26 13:00:21,2017-12-26 13:00:29,7.950s,PASSED
waitForPageLoad,Chrome 63.0.3239.108,,2017-12-26 13:00:29,2017-12-26 13:00:29,0.036s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 13:00:29,2017-12-26 13:00:30,0.885s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 13:00:30,2017-12-26 13:00:30,0.801s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerLogin - Copy - Iteration 2,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 13:00:30,2017-12-26 13:01:14,43.889s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 13:00:30,2017-12-26 13:00:57,26.595s,PASSED
click,Chrome 63.0.3239.108,,2017-12-26 13:00:57,2017-12-26 13:01:03,6.004s,PASSED
waitForPageLoad,Chrome 63.0.3239.108,,2017-12-26 13:01:03,2017-12-26 13:01:03,0.019s,PASSED
setText,Chrome 63.0.3239.108,,2017-12-26 13:01:03,2017-12-26 13:01:03,0.313s,PASSED
setText,Chrome 63.0.3239.108,,2017-12-26 13:01:03,2017-12-26 13:01:04,0.244s,PASSED
click,Chrome 63.0.3239.108,,2017-12-26 13:01:04,2017-12-26 13:01:12,8.612s,PASSED
waitForPageLoad,Chrome 63.0.3239.108,,2017-12-26 13:01:12,2017-12-26 13:01:12,0.019s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 13:01:12,2017-12-26 13:01:13,0.876s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 13:01:13,2017-12-26 13:01:14,1.194s,PASSED
