Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,,,2017-12-26 15:09:11,2017-12-26 15:09:12,1.288s,ERROR
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 1,,Assert Successful Login,2017-12-26 15:09:11,2017-12-26 15:09:12,0.572s,ERROR
Statement - println(expectation),,,2017-12-26 15:09:12,2017-12-26 15:09:12,0.003s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 2,,Assert Successful Login,2017-12-26 15:09:12,2017-12-26 15:09:12,0.020s,ERROR
Statement - println(expectation),,,2017-12-26 15:09:12,2017-12-26 15:09:12,0.001s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 3,,Assert Successful Login,2017-12-26 15:09:12,2017-12-26 15:09:12,0.076s,ERROR
Statement - println(expectation),,,2017-12-26 15:09:12,2017-12-26 15:09:12,0.020s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 4,,Assert Successful Login,2017-12-26 15:09:12,2017-12-26 15:09:12,0.091s,ERROR
Statement - println(expectation),,,2017-12-26 15:09:12,2017-12-26 15:09:12,0.001s,PASSED
