Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.108,,2017-12-26 11:16:06,2017-12-26 11:17:02,56.056s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerLogin,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 11:16:06,2017-12-26 11:17:02,55.702s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 11:16:07,2017-12-26 11:16:42,34.483s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 11:16:42,2017-12-26 11:17:00,18.801s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 11:17:00,2017-12-26 11:17:01,1.138s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 11:17:01,2017-12-26 11:17:02,0.722s,PASSED
