Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 17:14:48,2017-12-22 17:15:40,52.193s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 17:14:48,2017-12-22 17:15:40,51.784s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:14:48,2017-12-22 17:15:18,29.554s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:15:18,2017-12-22 17:15:24,6.179s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:15:24,2017-12-22 17:15:24,0.061s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:15:24,2017-12-22 17:15:27,3.127s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:15:27,2017-12-22 17:15:27,0.019s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:15:27,2017-12-22 17:15:32,4.581s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:15:32,2017-12-22 17:15:38,6.015s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:15:38,2017-12-22 17:15:39,0.819s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:15:39,2017-12-22 17:15:39,0.043s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 17:15:39,2017-12-22 17:15:40,0.801s,PASSED
