Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 17:12:51,2017-12-22 17:13:41,50.935s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 17:12:51,2017-12-22 17:13:41,50.551s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:12:51,2017-12-22 17:13:18,26.419s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:13:18,2017-12-22 17:13:24,6.065s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:13:24,2017-12-22 17:13:24,0.076s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:13:24,2017-12-22 17:13:29,4.646s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:13:29,2017-12-22 17:13:29,0.018s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:13:29,2017-12-22 17:13:33,4.628s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:13:33,2017-12-22 17:13:40,6.671s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:13:40,2017-12-22 17:13:41,0.703s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:13:41,2017-12-22 17:13:41,0.035s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 17:13:41,2017-12-22 17:13:41,0.751s,PASSED
