Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 16:02:41,2017-12-22 16:04:22,1m - 41.003s,PASSED
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerLogin,Chrome 63.0.3239.84,Assert Successful Login,2017-12-22 16:02:41,2017-12-22 16:03:32,50.551s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:02:42,2017-12-22 16:03:12,30.150s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:03:12,2017-12-22 16:03:29,17.296s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 16:03:29,2017-12-22 16:03:31,1.509s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 16:03:31,2017-12-22 16:03:32,1.027s,PASSED
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 16:03:32,2017-12-22 16:04:22,49.955s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:03:32,2017-12-22 16:04:00,27.853s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:04:00,2017-12-22 16:04:06,6.105s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 16:04:06,2017-12-22 16:04:06,0.011s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:04:06,2017-12-22 16:04:09,3.010s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 16:04:09,2017-12-22 16:04:09,0.017s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:04:09,2017-12-22 16:04:14,5.594s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:04:14,2017-12-22 16:04:20,5.671s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 16:04:20,2017-12-22 16:04:21,0.841s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 16:04:21,2017-12-22 16:04:21,0.029s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 16:04:21,2017-12-22 16:04:22,0.680s,PASSED
