Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 17:01:01,2017-12-22 17:01:40,39.230s,ERROR
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 17:01:01,2017-12-22 17:01:39,38.142s,ERROR
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:01:02,2017-12-22 17:01:29,27.471s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:01:29,2017-12-22 17:01:35,5.897s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:01:35,2017-12-22 17:01:35,0.057s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:01:35,2017-12-22 17:01:39,3.625s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:01:39,2017-12-22 17:01:39,0.014s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:01:39,2017-12-22 17:01:39,0.539s,FAILED
