Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 17:02:59,2017-12-22 17:03:52,52.292s,PASSED
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 17:03:00,2017-12-22 17:03:52,51.918s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:03:00,2017-12-22 17:03:30,29.795s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:03:30,2017-12-22 17:03:35,5.018s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:03:35,2017-12-22 17:03:35,0.065s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:03:35,2017-12-22 17:03:39,3.567s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:03:39,2017-12-22 17:03:39,0.035s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:03:39,2017-12-22 17:03:44,4.971s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:03:44,2017-12-22 17:03:50,6.392s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:03:50,2017-12-22 17:03:51,0.751s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:03:51,2017-12-22 17:03:51,0.040s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 17:03:51,2017-12-22 17:03:52,0.771s,PASSED
