Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.108,,2017-12-26 16:12:46,2017-12-26 16:15:28,2m - 42.194s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 1,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 16:12:46,2017-12-26 16:13:25,38.902s,PASSED
Statement - println(expectation),Chrome 63.0.3239.108,,2017-12-26 16:12:47,2017-12-26 16:12:47,0.006s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:12:47,2017-12-26 16:13:14,27.194s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:13:14,2017-12-26 16:13:23,9.533s,PASSED
Statement - switch (scene),Chrome 63.0.3239.108,,2017-12-26 16:13:23,2017-12-26 16:13:24,0.868s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 16:13:24,2017-12-26 16:13:25,0.787s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 2,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 16:13:25,2017-12-26 16:14:01,35.834s,PASSED
Statement - println(expectation),Chrome 63.0.3239.108,,2017-12-26 16:13:25,2017-12-26 16:13:25,0.000s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:13:25,2017-12-26 16:13:50,24.974s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:13:50,2017-12-26 16:13:59,9.181s,PASSED
Statement - switch (scene),Chrome 63.0.3239.108,,2017-12-26 16:13:59,2017-12-26 16:14:00,0.886s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 16:14:00,2017-12-26 16:14:01,0.779s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 3,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 16:14:01,2017-12-26 16:14:40,39.529s,PASSED
Statement - println(expectation),Chrome 63.0.3239.108,,2017-12-26 16:14:01,2017-12-26 16:14:01,0.001s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:14:01,2017-12-26 16:14:31,30.337s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:14:31,2017-12-26 16:14:38,6.426s,PASSED
Statement - switch (scene),Chrome 63.0.3239.108,,2017-12-26 16:14:38,2017-12-26 16:14:40,2.002s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 16:14:40,2017-12-26 16:14:40,0.752s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Iteration 4,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 16:14:40,2017-12-26 16:15:28,47.342s,PASSED
Statement - println(expectation),Chrome 63.0.3239.108,,2017-12-26 16:14:41,2017-12-26 16:14:41,0.001s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:14:41,2017-12-26 16:15:11,30.164s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 16:15:11,2017-12-26 16:15:25,14.070s,PASSED
Statement - switch (scene),Chrome 63.0.3239.108,,2017-12-26 16:15:25,2017-12-26 16:15:27,2.139s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 16:15:27,2017-12-26 16:15:28,0.958s,PASSED
