Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 16:59:00,2017-12-22 16:59:52,51.313s,PASSED
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 16:59:00,2017-12-22 16:59:51,50.997s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:59:01,2017-12-22 16:59:30,29.126s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:59:30,2017-12-22 16:59:35,4.972s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 16:59:35,2017-12-22 16:59:35,0.045s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:59:35,2017-12-22 16:59:38,3.062s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 16:59:38,2017-12-22 16:59:38,0.021s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:59:38,2017-12-22 16:59:43,5.092s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:59:43,2017-12-22 16:59:50,6.566s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 16:59:50,2017-12-22 16:59:51,0.736s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 16:59:51,2017-12-22 16:59:51,0.035s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 16:59:51,2017-12-22 16:59:51,0.812s,PASSED
