Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 15:15:56,2017-12-22 15:18:41,2m - 44.546s,PASSED
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerLogin,Chrome 63.0.3239.84,Assert Successful Login,2017-12-22 15:15:56,2017-12-22 15:16:49,52.232s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 15:15:57,2017-12-22 15:16:26,29.021s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 15:16:26,2017-12-22 15:16:43,16.600s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 15:16:43,2017-12-22 15:16:45,1.848s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 15:16:45,2017-12-22 15:16:49,4.064s,PASSED
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 15:16:49,2017-12-22 15:18:41,1m - 51.869s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 15:16:49,2017-12-22 15:17:21,31.702s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 15:17:21,2017-12-22 15:17:25,3.954s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 15:17:25,2017-12-22 15:17:25,0.241s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 15:17:25,2017-12-22 15:17:28,2.674s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 15:17:28,2017-12-22 15:17:28,0.247s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 15:17:28,2017-12-22 15:18:31,1m - 3.050s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 15:18:31,2017-12-22 15:18:35,4.262s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 15:18:35,2017-12-22 15:18:36,1.058s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 15:18:36,2017-12-22 15:18:36,0.256s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 15:18:36,2017-12-22 15:18:41,4.193s,PASSED
