Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.108,,2017-12-26 10:53:06,2017-12-26 10:54:04,57.837s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.108,Assert Successful Registration,2017-12-26 10:53:07,2017-12-26 10:54:04,57.362s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 10:53:07,2017-12-26 10:53:42,34.670s,PASSED
click,Chrome 63.0.3239.108,,2017-12-26 10:53:42,2017-12-26 10:53:47,5.120s,PASSED
waitForPageLoad,Chrome 63.0.3239.108,,2017-12-26 10:53:47,2017-12-26 10:53:47,0.087s,PASSED
click,Chrome 63.0.3239.108,,2017-12-26 10:53:47,2017-12-26 10:53:50,3.099s,PASSED
waitForPageLoad,Chrome 63.0.3239.108,,2017-12-26 10:53:50,2017-12-26 10:53:50,0.027s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 10:53:50,2017-12-26 10:53:56,5.676s,PASSED
click,Chrome 63.0.3239.108,,2017-12-26 10:53:56,2017-12-26 10:54:02,6.395s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 10:54:02,2017-12-26 10:54:03,0.741s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 10:54:03,2017-12-26 10:54:03,0.031s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 10:54:03,2017-12-26 10:54:04,0.807s,PASSED
