Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 17:09:02,2017-12-22 17:10:01,59.511s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 17:09:02,2017-12-22 17:10:01,59.122s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:09:02,2017-12-22 17:09:39,36.789s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:09:39,2017-12-22 17:09:44,4.726s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:09:44,2017-12-22 17:09:44,0.070s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:09:44,2017-12-22 17:09:48,3.828s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:09:48,2017-12-22 17:09:48,0.014s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:09:48,2017-12-22 17:09:53,4.865s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:09:53,2017-12-22 17:09:59,6.757s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:09:59,2017-12-22 17:10:00,0.779s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:10:00,2017-12-22 17:10:00,0.026s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 17:10:00,2017-12-22 17:10:01,0.748s,PASSED
