Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.108,,2017-12-26 14:30:48,2017-12-26 14:32:25,1m - 37.257s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Copy - Iteration 1,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 14:30:48,2017-12-26 14:31:18,29.668s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 14:30:48,2017-12-26 14:31:00,11.973s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 14:31:00,2017-12-26 14:31:16,15.363s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 14:31:16,2017-12-26 14:31:17,1.032s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 14:31:17,2017-12-26 14:31:18,0.808s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Copy - Iteration 2,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 14:31:18,2017-12-26 14:31:53,35.593s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 14:31:18,2017-12-26 14:31:34,16.097s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 14:31:34,2017-12-26 14:31:51,17.520s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 14:31:51,2017-12-26 14:31:52,1.143s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 14:31:52,2017-12-26 14:31:53,0.820s,PASSED
,,,,,,
Test Cases/AllCases/My Account/SEP_FA_CustomerLogin - Copy - Iteration 3,Chrome 63.0.3239.108,Assert Successful Login,2017-12-26 14:31:53,2017-12-26 14:32:25,31.500s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 14:31:53,2017-12-26 14:32:06,13.079s,PASSED
callTestCase,Chrome 63.0.3239.108,,2017-12-26 14:32:06,2017-12-26 14:32:23,16.539s,PASSED
verifyElementPresent,Chrome 63.0.3239.108,,2017-12-26 14:32:23,2017-12-26 14:32:24,1.112s,PASSED
closeBrowser,Chrome 63.0.3239.108,,2017-12-26 14:32:24,2017-12-26 14:32:25,0.754s,PASSED
