Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 17:10:53,2017-12-22 17:11:46,53.568s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 17:10:53,2017-12-22 17:11:46,53.211s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:10:54,2017-12-22 17:11:24,30.703s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:11:24,2017-12-22 17:11:30,5.977s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:11:30,2017-12-22 17:11:30,0.071s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:11:30,2017-12-22 17:11:33,2.994s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:11:33,2017-12-22 17:11:33,0.014s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:11:33,2017-12-22 17:11:38,4.701s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:11:38,2017-12-22 17:11:45,6.724s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:11:45,2017-12-22 17:11:45,0.691s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:11:45,2017-12-22 17:11:46,0.050s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 17:11:46,2017-12-22 17:11:46,0.790s,PASSED
