Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 16:53:26,2017-12-22 16:54:15,49.225s,ERROR
,,,,,,
Test Cases/TestCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 16:53:26,2017-12-22 16:54:14,47.528s,ERROR
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:53:27,2017-12-22 16:54:03,35.971s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:54:03,2017-12-22 16:54:09,5.828s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 16:54:09,2017-12-22 16:54:09,0.091s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 16:54:09,2017-12-22 16:54:12,3.472s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 16:54:12,2017-12-22 16:54:12,0.033s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 16:54:12,2017-12-22 16:54:14,1.518s,FAILED
