Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Core,Chrome 63.0.3239.84,,2017-12-22 17:07:35,2017-12-22 17:08:24,49.655s,PASSED
,,,,,,
Test Cases/AllCases/SEP_FA_CustomerRegistration,Chrome 63.0.3239.84,Assert Successful Registration,2017-12-22 17:07:35,2017-12-22 17:08:24,49.116s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:07:36,2017-12-22 17:08:03,27.008s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:08:03,2017-12-22 17:08:08,5.495s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:08:08,2017-12-22 17:08:08,0.052s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:08:08,2017-12-22 17:08:12,3.499s,PASSED
waitForPageLoad,Chrome 63.0.3239.84,,2017-12-22 17:08:12,2017-12-22 17:08:12,0.024s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 17:08:12,2017-12-22 17:08:16,4.590s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 17:08:16,2017-12-22 17:08:23,6.131s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:08:23,2017-12-22 17:08:23,0.770s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-22 17:08:23,2017-12-22 17:08:23,0.036s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 17:08:23,2017-12-22 17:08:24,0.793s,PASSED
